well,pad,ipr_source,ipr_r2,latest_gauge_date,saved_cutoff,exclusion,test_age_days,watercut_difference_points,input_flags,rejected_tests,recent_test_count,pump_date,model_installed_nozzle,model_installed_throat,model_form_wc,model_form_gor,model_res_pres,model_jpump_direction,date,wt_uid,observed_bhp,observed_oil,observed_pf,ppf,pwh,wc,fgor,qtot,predicted_bhp,predicted_oil,predicted_pf,sonic,bhp_error,oil_error_bopd,oil_error_pct,pf_error_pct,error
MPM-30,M,saved,,2026-09-07,2026-08-10,,14.0,6.55253726341643,,1: before current pump or installation day,2,2026-08-08,13,B,0.4,238.0,1250.0,reverse,2026-08-25,-3612764,440.1,947.3178,3974.066,3433.154,398.901,0.3344746273658357,263.7287085706613,1423.4135,517.066743245466,791.4251581332375,3889.753030450707,True,76.96674324546598,-155.89264186676257,-16.456213729623002,-2.1215794994167925,
MPM-32,M,saved,,2026-09-07,2026-08-10,,2.0,-3.6755862886253654,,1: before current pump or installation day,3,2026-07-28,14,B,0.492,211.0,1150.0,reverse,2026-09-06,-3620523,461.68,1075.25,4612.116,3433.037,416.604,0.5287558628862536,244.1707509881423,2281.726,545.2456880854526,923.1448338270103,4792.400028826769,False,83.56568808545256,-152.1051661729897,-14.146028009578204,3.9089222566554893,
MPM-34,M,manual,,2026-09-07,,no usable BHP/oil/pressure test in current pump era within 90 days,,,,2: before current pump or installation day,2,2026-09-01,13,B,0.26,422.0,1400.0,reverse,,,,,,,,,,,,,,,,,,,
MPM-43,M,saved,,2026-09-07,2026-08-10,,20.0,-16.31155423031742,model and test watercut differ by over 10 percentage points; saved coefficients/IPR predate current pump,2: before current pump or installation day,3,2026-08-13,12,C,0.412,340.0,740.0,reverse,2026-08-19,-3608612,354.38,363.9706,3058.211,3440.029,401.098,0.5751155423031742,321.311941129311,856.6343,268.10107060186175,392.1219622513897,3057.3952554643524,False,-86.27892939813825,28.151362251389685,7.734515439266154,-0.026673912808738987,
MPM-45,M,saved,,2026-09-07,2026-08-10,,22.0,-10.81513598738667,model and test watercut differ by over 10 percentage points,,3,2026-06-08,12,B,0.52,188.0,672.0,reverse,2026-08-17,-3607186,365.42,377.352,3235.827,3447.513,403.146,0.6281513598738667,240.45586084080645,1014.8,286.4743711767051,354.8657326892524,3080.2437293249436,True,-78.9456288232949,-22.486267310747564,-5.958963331517408,-4.808145511952788,
MPM-60,M,saved,,2026-09-07,2026-08-10,,1.0,-24.588377048948335,model and test watercut differ by over 10 percentage points,1: before current pump or installation day,3,2026-07-11,14,B,0.129,179.0,675.0,reverse,2026-09-07,-3621165,398.47,901.1328,4688.505,3430.051,407.327,0.37488377048948335,200.2392988025738,1441.5444,429.75047095741274,1105.6117121082777,4951.790960394588,True,31.280470957412717,204.47891210827777,22.691318317153453,5.615563178339111,
MPM-62,M,saved,,2026-09-07,2026-08-10,,25.0,-4.675694475663949,,1: before current pump or installation day,3,2026-07-01,14,B,0.47,240.0,1020.0,reverse,2026-08-14,-3605170,490.4,1386.65,4381.828,3439.492,408.223,0.5167569447566395,192.61781992572026,2869.467,660.5720262177082,725.9717210277048,4750.211736587229,False,170.1720262177082,-660.6782789722953,-47.645640859070085,8.407078885506891,
MPM-64,M,saved,,2026-09-07,2026-08-10,,22.0,-10.804074178139928,model and test watercut differ by over 10 percentage points,,2,2026-05-23,14,B,0.052,159.0,642.0,reverse,2026-08-17,-3607183,376.21,1195.766,5158.617,3427.457,410.041,0.16004074178139926,170.6855689156574,1423.6,429.4320062101426,1207.5664214711107,4921.532658830528,True,53.22200621014264,11.800421471110667,0.9868503930627437,-4.595889579890744,
MPR-111,R,single_test,,,,no credible BHP gauge reading in last 14 days,,,,,0,2025-12-18,13,B,0.0,301.0,1800.0,reverse,,,,,,,,,,,,,,,,,,,
MPS-03,S,saved,,2026-08-08,2026-07-31,no credible BHP gauge reading in last 14 days,,,,,4,2026-07-03,9,B,0.25,500.0,1200.0,reverse,,,,,,,,,,,,,,,,,,,
